Unix_Timestamp,Real_World_Time,Latitude,Longitude,Altitude_m,Roll_deg,Pitch_deg,Yaw_deg
1775785077.600116,2026-04-09 21:37:57.600,40.4285754,-86.9278143,185.20999145507812,-0.27888596057891846,-0.43593817949295044,3.6286892890930176
1775785077.700124,2026-04-09 21:37:57.700,40.4285754,-86.9278143,185.20999145507812,-0.27893558144569397,-0.4372877776622772,3.628615379333496
1775785077.800171,2026-04-09 21:37:57.800,40.4285754,-86.9278143,185.20999145507812,-0.27788296341896057,-0.4389037787914276,3.6295580863952637
1775785077.900084,2026-04-09 21:37:57.900,40.4285754,-86.9278143,185.20999145507812,-0.2782675623893738,-0.44045892357826233,3.6301207542419434
1775785078.000281,2026-04-09 21:37:58.000,40.4285754,-86.9278143,185.20999145507812,-0.27798277139663696,-0.4403901994228363,3.6306679248809814
1775785078.100093,2026-04-09 21:37:58.100,40.4285754,-86.9278143,185.20999145507812,-0.27798712253570557,-0.44128963351249695,3.632430076599121
1775785078.200139,2026-04-09 21:37:58.200,40.4285754,-86.9278143,185.1999969482422,-0.27808666229248047,-0.4419361650943756,3.6336681842803955
1775785078.300176,2026-04-09 21:37:58.300,40.4285754,-86.9278143,185.1999969482422,-0.27921950817108154,-0.44146209955215454,3.6343185901641846
1775785078.400134,2026-04-09 21:37:58.400,40.4285754,-86.9278143,185.1999969482422,-0.27887430787086487,-0.44155067205429077,3.634960651397705
1775785078.500152,2026-04-09 21:37:58.500,40.4285754,-86.9278143,185.1999969482422,-0.2794528007507324,-0.444541871547699,3.637620687484741
1775785078.600131,2026-04-09 21:37:58.600,40.4285754,-86.9278143,185.1999969482422,-0.27937638759613037,-0.4438524544239044,3.6392133235931396
1775785078.700110,2026-04-09 21:37:58.700,40.4285754,-86.9278143,185.1999969482422,-0.27973172068595886,-0.4429835379123688,3.6402792930603027
1775785078.800171,2026-04-09 21:37:58.800,40.4285754,-86.9278143,185.19000244140625,-0.2794640064239502,-0.44167980551719666,3.640960693359375
1775785078.900078,2026-04-09 21:37:58.900,40.4285754,-86.9278143,185.19000244140625,-0.28036659955978394,-0.441963255405426,3.6418962478637695
1775785079.000320,2026-04-09 21:37:59.000,40.4285754,-86.9278143,185.19000244140625,-0.2813998758792877,-0.4423476755619049,3.643996238708496
1775785079.100104,2026-04-09 21:37:59.100,40.4285754,-86.9278143,185.19000244140625,-0.28189176321029663,-0.4444791376590729,3.6467206478118896
1775785079.200158,2026-04-09 21:37:59.200,40.4285754,-86.9278143,185.17999267578125,-0.2812521755695343,-0.44499310851097107,3.6476080417633057
1775785079.300156,2026-04-09 21:37:59.300,40.4285754,-86.9278143,185.17999267578125,-0.2804388105869293,-0.44528380036354065,3.648078203201294
1775785079.400166,2026-04-09 21:37:59.400,40.4285754,-86.9278143,185.1699981689453,-0.27906081080436707,-0.4447582960128784,3.648012399673462
1775785079.500093,2026-04-09 21:37:59.500,40.4285754,-86.9278143,185.1699981689453,-0.2778755724430084,-0.44323623180389404,3.6499183177948
1775785079.600134,2026-04-09 21:37:59.600,40.4285754,-86.9278143,185.1699981689453,-0.27774930000305176,-0.4422580301761627,3.6538500785827637
1775785079.700157,2026-04-09 21:37:59.700,40.4285754,-86.9278143,185.1699981689453,-0.27791425585746765,-0.4424445927143097,3.65853214263916
1775785079.800195,2026-04-09 21:37:59.800,40.4285754,-86.9278143,185.1699981689453,-0.27787283062934875,-0.4411447048187256,3.664858102798462
1775785079.900123,2026-04-09 21:37:59.900,40.4285754,-86.9278143,185.1699981689453,-0.27687230706214905,-0.43845704197883606,3.668926477432251
1775785080.000357,2026-04-09 21:38:00.000,40.4285754,-86.9278143,185.1699981689453,-0.27656081318855286,-0.43829867243766785,3.6715586185455322
1775785080.100170,2026-04-09 21:38:00.100,40.4285754,-86.9278143,185.1699981689453,-0.2765299677848816,-0.4394657611846924,3.6757729053497314
1775785080.200152,2026-04-09 21:38:00.200,40.4285754,-86.9278143,185.1599884033203,-0.2767922282218933,-0.4385101795196533,3.677607536315918
1775785080.300160,2026-04-09 21:38:00.300,40.4285754,-86.9278143,185.1599884033203,-0.27620556950569153,-0.4407598674297333,3.6806256771087646
1775785080.400089,2026-04-09 21:38:00.400,40.4285754,-86.9278143,185.1599884033203,-0.2763005495071411,-0.4397357702255249,3.68428111076355
1775785080.500130,2026-04-09 21:38:00.500,40.4285754,-86.9278143,185.1599884033203,-0.27728256583213806,-0.4385208487510681,3.6875429153442383
1775785080.600162,2026-04-09 21:38:00.600,40.4285754,-86.9278143,185.1599884033203,-0.277221143245697,-0.4383968412876129,3.690807342529297
1775785080.700141,2026-04-09 21:38:00.700,40.4285754,-86.9278143,185.1599884033203,-0.2761342227458954,-0.4370807409286499,3.6952931880950928
1775785080.800157,2026-04-09 21:38:00.800,40.4285754,-86.9278143,185.1599884033203,-0.2753077745437622,-0.43742161989212036,3.69838285446167
1775785080.900278,2026-04-09 21:38:00.900,40.4285754,-86.9278143,185.1599884033203,-0.27617067098617554,-0.4364786148071289,3.7014236450195312
1775785081.000162,2026-04-09 21:38:01.000,40.4285754,-86.9278143,185.1599884033203,-0.27648112177848816,-0.4353294372558594,3.704796075820923
1775785081.099966,2026-04-09 21:38:01.099,40.4285754,-86.9278143,185.1599884033203,-0.2759001851081848,-0.43511515855789185,3.7074239253997803
1775785081.199919,2026-04-09 21:38:01.199,40.4285754,-86.9278143,185.14999389648438,-0.27669045329093933,-0.4356479048728943,3.7085390090942383
1775785081.299898,2026-04-09 21:38:01.299,40.4285754,-86.9278143,185.14999389648438,-0.27595391869544983,-0.4339762032032013,3.7110836505889893
1775785081.399974,2026-04-09 21:38:01.399,40.4285754,-86.9278143,185.14999389648438,-0.2750256061553955,-0.4348656237125397,3.732698678970337
1775785081.499931,2026-04-09 21:38:01.499,40.4285754,-86.9278143,185.14999389648438,-0.27866774797439575,-0.44119787216186523,3.7288191318511963
1775785081.599973,2026-04-09 21:38:01.599,40.4285754,-86.9278143,185.14999389648438,-0.2808152139186859,-0.44465115666389465,3.72375226020813
1775785081.699911,2026-04-09 21:38:01.699,40.4285754,-86.9278143,185.14999389648438,-0.27808767557144165,-0.44302621483802795,3.7256221771240234
1775785081.799954,2026-04-09 21:38:01.799,40.4285754,-86.9278143,185.14999389648438,-0.27723410725593567,-0.4389899969100952,3.7237439155578613
1775785081.900017,2026-04-09 21:38:01.900,40.4285754,-86.9278143,185.14999389648438,-0.27683934569358826,-0.44042178988456726,3.711613893508911
